Region,Province_Count,Region_Area,Population,Population Density,Disposable Income per capita,Total Tourism Flow,Foreign Tourism Flow,Median Income
Lombardia,12,"23,863.65",10065694,421.8,"27,243","41,795,073","26,300,388","32,485"
Valle d'Aosta,1,"3,260.90",122554,37.6,"25,152","3,692,878","1,439,669","32,900"
Piemonte,8,"25,387.07",4255006,167.6,"24,416","14,410,448","7,180,603","30,267"
Trentino-Alto Adige,2,"13,605.50",1090818,80.2,"28,130","55,227,131","33,544,804","37,563"
Veneto,7,"18,407.42",4857460,263.9,"24,103","71,896,863","49,799,037","32,272"
Friuli-Venezia Giulia,4,"7,862.30",1193496,151.8,"23,494","9,946,875","5,797,047","30,856"
Liguria,4,"5,416.21",1511988,279.2,"25,085","16,084,210","7,238,928","28,085"
Emilia-Romagna,9,"22,452.78",4477009,199.4,"26,072","39,176,137","11,087,454","35,682"
Toscana,10,"22,987.04",3659222,159.2,"23,494","46,019,310","25,297,309","33,268"
Umbria,2,"8,464.33",850627,100.5,"21,636","6,428,948","2,167,096","33,677"
Marche,5,"9,401.38",1479832,157.4,"22,116","10,660,677","1,729,584","33,315"
Lazio,5,"17,232.29",5709444,331.3,"23,348","45,727,169","29,110,443","28,714"
Abruzzo,4,"10,831.84",1267222,117,"19,768","6,804,820","978,924","24,767"
Molise,2,"4,460.65",285940,64.1,"18,212","494,786","47,497","24,484"
Campania,5,"13,670.95",5568703,407.3,"16,445","20,695,842","10,601,880","23,751"
Puglia,6,"19,540.90",3865277,197.8,"17,148","16,822,144","5,108,135","26,702"
Basilicata,2,"10,073.32",525281,52.1,"17,336","2,537,324","428,180","24,984"
Calabria,5,"15,221.90",1827571,120.1,"16,173","8,100,594","1,486,391","22,225"
Sicilia,9,"25,832.39",4775194,184.9,"16,907","16,448,284","8,020,941","22,810"
Sardegna,5,"24,100.02",1554490,64.5,"19,064","14,200,536","6,817,945","24,459"
