Region,Province_Count,Region_Area,Population,Population Density,Disposable Income per capita,Total Tourism Flow,Foreign Tourism Flow,Median Income
Lombardia,12,23863.65,10065694,421.8,27243,41795073.0,26300388.0,32485
Valle d'Aosta,1,3260.9,122554,37.6,25152,3692878.0,1439669.0,32900
Piemonte,8,25387.07,4255006,167.6,24416,14410448.0,7180603.0,30267
Trentino-Alto Adige,2,13605.5,1090818,80.2,28130,55227131.0,33544804.0,37563
Veneto,7,18407.42,4857460,263.9,24103,71896863.0,49799037.0,32272
Friuli-Venezia Giulia,4,7862.3,1193496,151.8,23494,9946875.0,5797047.0,30856
Liguria,4,5416.21,1511988,279.2,25085,16084210.0,7238928.0,28085
Emilia-Romagna,9,22452.78,4477009,199.4,26072,39176137.0,11087454.0,35682
Toscana,10,22987.04,3659222,159.2,23494,46019310.0,25297309.0,33268
Umbria,2,8464.33,850627,100.5,21636,6428948.0,2167096.0,33677
Marche,5,9401.38,1479832,157.4,22116,10660677.0,1729584.0,33315
Lazio,5,17232.29,5709444,331.3,23348,45727169.0,29110443.0,28714
Abruzzo,4,10831.84,1267222,117.0,19768,6804820.0,978924.0,24767
Molise,2,4460.65,285940,64.1,18212,494786.0,47497.0,24484
Campania,5,13670.95,5568703,407.3,16445,20695842.0,10601880.0,23751
Puglia,6,19540.9,3865277,197.8,17148,16822144.0,5108135.0,26702
Basilicata,2,10073.32,525281,52.1,17336,2537324.0,428180.0,24984
Calabria,5,15221.9,1827571,120.1,16173,8100594.0,1486391.0,22225
Sicilia,9,25832.39,4775194,184.9,16907,16448284.0,8020941.0,22810
Sardegna,5,24100.02,1554490,64.5,19064,14200536.0,6817945.0,24459
