"Region code","Region","Total males","Total females","Total"
"01","Piemonte","2086022","2168984","4255006"
"02","Valle d'Aosta/Vallée d'Aoste","60336","62218","122554"
"03","Lombardia","4967927","5097767","10065694"
"04","Trentino-Alto Adige/Südtirol","541300","549518","1090818"
"05","Veneto","2399644","2457816","4857460"
"06","Friuli-Venezia Giulia","585551","607945","1193496"
"07","Liguria","734281","777707","1511988"
"08","Emilia-Romagna","2204044","2272965","4477009"
"09","Toscana","1786632","1872590","3659222"
"10","Umbria","413798","436829","850627"
"11","Marche","727518","752314","1479832"
"12","Lazio","2773837","2935607","5709444"
"13","Abruzzo","623200","644022","1267222"
"14","Molise","142230","143710","285940"
"15","Campania","2725438","2843265","5568703"
"16","Puglia","1890243","1975034","3865277"
"17","Basilicata","260624","264657","525281"
"18","Calabria","898875","928696","1827571"
"19","Sicilia","2334463","2440731","4775194"
"20","Sardegna","764672","789818","1554490"
